Herb_id,Herb_Chinese,Herb_Pinyin,Herb_Latin,Herb_English,Properties_Chinese,Properties_English,Meridians_Chinese,Meridians_English,Class_Chinese,Class_English,TCMSP_id,Mol_id,Molecule_name,Molecule_formula,Molecule_weight,PubChem_CID,CAS_id,OB_score,Type,Link_ingredient_id,Herb_Aliases,Molecule_Aliases
6,巴豆,Badou,"Crotonis Fructus,Fructus Crotonis",Croton Fruit,"辛,热,有大毒","Pungent,Hot,Extremely Poisonous","胃,大肠","Stomach,Large Intestine",攻下药,Offensive Purgative Medicinal,6.0,,,,,,,,,,巴豆,
9,白扁豆,Baibiandou,"Semen Lablab Album,Lablab Semen Album",White Hyacinth Bean,"甘,微温","Sweet,Slightly Warm","脾,胃","Spleen,Stomach",补气药,Qi Reinforcing Drugs,9.0,,,,,,,,,,白扁豆,
10,白附子,Baifuzi,"Typhonii Rhizoma,Rhizoma Typhonii",rhizome of Giant Typhonium,"辛,温,有毒","Pungent,Warm,Toxic","胃,肝","Stomach,Liver",化痰药,Phlegresolving Medicine,10.0,,,,,,,,,,白附子,
11,白果,Baiguo,"Ginkgo Semen,Semen Ginkgo",Ginkgo seed,"甘,苦,涩,平,有毒","Sweet,Bitter,Astringent,Calm,Toxic","肺,肾","Lung,Kidney",止咳平喘药,Antitussive Antiasthmetics,11.0,,,,,,,,,,白果,
13,白花蛇舌草,Baihuasheshecao,Herba Hedyotis Diffusae,all - grass of Spreading Hedyotis,"苦,甘,寒","Bitter,Sweet,Cold","心,肺,肝,大肠","Heart,Lung,Liver,Large Intestine",清热解毒药,Antipyretic Detoxicate Drugs,13.0,,,,,,,,,,白花蛇舌草,
17,白毛夏枯草,Baimaoxiakucao,Herha Ajugae Ciliatae,all - grass of Decumbent Bugle,,,,,清热解毒药,Antipyretic Detoxicate Drugs,17.0,,,,,,,,,,白毛夏枯草,
18,白茅根,Baimaogen,"Rhizoma Imperatae,Imperatae Rhizoma",Lalang Grass Rhizome,"甘,寒","Sweet,Cold","肺,胃,膀胱","Lung,Stomach,Bladder",凉血止血药,Blood-Cooling Hemostatic Medicinal,18.0,,,,,,,,,,白茅根,
19,白前,Baiqian,"Cynanchi Stauntonii Rhizoma Et Radix,Rhizoma Cynchi Stauntonii",Cynchum root,"辛,苦,微温","Pungent,Bitter,Slightly Warm",肺,Lung,化痰药,Phlegresolving Medicine,19.0,,,,,,,,,,白前,
20,白屈菜,Baiqucai,Chelidonii Herba,Chelidonii Herba,"苦,凉,有毒","Bitter,Cool,Toxic","肺,胃","Lung,Stomach",止咳平喘药,Antitussive Antiasthmetics,20.0,,,,,,,,,,白屈菜,
22,白术,Baizhu,"Atractylodis Macrocephalae Rhizoma,Rhizoma Atractylodis Macrocephalae",rhizome of Largehead Atractylodes,"苦,甘,温","Bitter,Sweet,Warm","脾,胃","Spleen,Stomach",补气药,Qi Reinforcing Drugs,22.0,,,,,,,,,,白术,
23,白头翁,Baitouweng,"Pulsatillae Radix,Radix Pulsatillae",Root of Chinese Pulsatilla,"苦,寒","Bitter,Cold","胃,大肠","Stomach,Large Intestine",清热解毒药,Antipyretic Detoxicate Drugs,23.0,,,,,,,,,,白头翁,
25,白鲜皮,Baixianpi,Dictamni Cortex,Dictamni Cortex,"苦,寒","Bitter,Cold","脾,胃,膀胱","Spleen,Stomach,Bladder",清热燥湿药,Heat-Clearing And Dampnessdrying Medicinal,25.0,,,,,,,,,,白鲜皮,
26,白药子,Baiyaozi,,Radix Stephaniae Cepharanthae.,"苦,辛,凉,小毒","Bitter,Pungent,Cool,Slightly Toxic","肺,胃","Lung,Stomach",清热解毒药,Antipyretic Detoxicate Drugs,26.0,,,,,,,,,,白药子,
29,百合,Baihe,"Bulbus Lilii ,Lilii Bulbus",Bulb of Greenish Lily,"甘,寒","Sweet,Cold","心,肺","Heart,Lung",补阴药,Yin-Tonifying Medicinal,29.0,,,,,,,,,,百合,
30,柏子仁,Baiziren,"Platycladi Semen,Semen Biotae",seed of Chinese Arborvitae,"甘,平","Sweet,Calm","心,肾,大肠","Heart,Kidney,Large Intestine",安神药,Tranguilizing Medicinal,30.0,,,,,,,,,,柏子仁,
33,板蓝根,Banlangen,"Isatidis Radix,Radix Isatidis Seu Baphicacanthi",Root of Dyers Woad.,"苦,寒","Bitter,Cold","心,胃","Heart,Stomach",清热解毒药,Antipyretic Detoxicate Drugs,33.0,,,,,,,,,,板蓝根,
35,半夏,Banxia,"Rhizoma Pinelliae,Pinelliae Rhizoma",tuber of Pinellia,"辛,温,有毒","Pungent,Warm,Toxic","脾,胃,肺","Spleen,Stomach,Lung",化痰药,Phlegresolving Medicine,35.0,,,,,,,,,,半夏,
36,半枝莲,Banzhilian,"Herba Scutellariae Barbatae,Scutellariae Barbatae Herba",all - grass of Barbed Skullcap,"辛,苦,寒","Pungent,Bitter,Cold","肺,肝,肾","Lung,Liver,Kidney",清热解毒药,Antipyretic Detoxicate Drugs,36.0,,,,,,,,,,半枝莲,
38,北豆根,Beidougen,"Rhizoma Menispermi,Menispermi Rhizoma",Chinese Cinquefoil,"苦,寒,有小毒","Bitter,Cold,Slightly Toxic","肺,胃,大肠","Lung,Stomach,Large Intestine",清热解毒药,Antipyretic Detoxicate Drugs,38.0,,,,,,,,,,北豆根,
39,北刘寄奴,Beiliujinu,Siphonostegiae Herba,Siphonostegiae Herba,"苦,寒","Bitter,Cold","脾,胃,肝,胆","Spleen,Stomach,Liver,Gallbladder",活血祛瘀药,Blood Activating Stasis Removing Drugs,39.0,,,,,,,,,,北刘寄奴,
41,五味子,Wuweizi,Schisandrae Chinensis Fructus,Schisandrae Chinensis Fructus,"酸,甘,温","Sour,Sweet,Warm","肺,心,肾","Lung,Heart,Kidney",收涩药,Astringent Medicinal,41.0,,,,,,,,,,五味子,
42,荜茇,Bibo,Piperis Longi Fructus,Piperis Longi Fructus,"辛,热","Pungent,Hot","胃,大肠","Stomach,Large Intestine",温里药,Warming Interior Drugs,42.0,,,,,,,,,,荜茇,
43,荜澄茄,Bichengqie,Litseae Fructus,Litseae Fructus,"辛,温","Pungent,Warm","脾,胃,肾,膀胱","Spleen,Stomach,Kidney,Bladder",温里药,Warming Interior Drugs,43.0,,,,,,,,,,荜澄茄,
45,萹蓄,Bianxu,Polygoni Avicularis Herba,all-grass of common knotgrass,"微寒,苦","Minor cold,Bitter",膀胱,Bladder,利水渗湿药,Diuretic Dampness Excreting Drugs,45.0,,,,,,,,,,萹蓄,
46,扁豆花,Biandouhua,Flos Dolichoris,flower of Hyacinth Dolichos,"甘,平","Sweet,Calm",,,化湿药,Dampness Removing Drugs,46.0,,,,,,,,,,扁豆花,
47,槟榔,Binglang,"Arecae Semen,Semen Arecae",areca seed,"苦,辛,温","Bitter,Pungent,Warm","胃,大肠","Stomach,Large Intestine",驱虫药,Antiparasitic Drugs,47.0,,,,,,,,,,槟榔,
48,冰片,Bingpian,Borneolum Syntheticum,Borneol,"微寒,辛,苦","Minor cold,Pungent,Bitter","肺,脾,心","Lung,Spleen,Heart",开窍药,Resuscitative Stimulant; Resuscitative Medicinal,48.0,,,,,,,,,,冰片,
49,布渣叶,Buzhaye,Microctis Folium,Microctis Folium,"微酸,凉","Slightly Sour,Cool","脾,胃","Spleen,Stomach",拔毒化腐生肌药,"External Medicinal (Draw Out Toxin, Resolve Putridity)",49.0,,,,,,,,,,布渣叶,
50,蚕沙,Cansha,,Bombyx Mori L.,"甘,辛,温","Sweet,Pungent,Warm","肝,脾,胃","Liver,Spleen,Stomach",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,50.0,,,,,,,,,,蚕沙,
51,苍耳子,Cang'erzi,"Fructus Xanthii Sibirici,Xanthii Fructus",fruit of Siberian Cockleblur,"辛,苦,温,有毒","Pungent,Bitter,Warm,Toxic",肺,Lung,辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,51.0,,,,,,,,,,苍耳子,
52,苍术,Cangzhu,"Atractylodis Rhizoma,Rhizoma Atractylodis",Rhizome of Swordlike Atractylodes,"辛,苦,温","Pungent,Bitter,Warm","脾,胃,肝","Spleen,Stomach,Liver",化湿药,Dampness Removing Drugs,52.0,,,,,,,,,,苍术,
54,草果,Caoguo,"Tsaoko Fructus,Fructus Tsaoko",Tsaoko,"辛,温","Pungent,Warm","脾,胃","Spleen,Stomach",化湿药,Dampness Removing Drugs,54.0,,,,,,,,,,草果,
55,草乌,Caowu,"Radix Aconiti Kusnezoffii,Aconiti Kusnezoffii Radix",Kusnezoff Monkshood Root,"辛,苦,热,有大毒","Pungent,Bitter,Hot,Extremely Poisonous","心,肝,肾,脾","Heart,Liver,Kidney,Spleen",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,55.0,,,,,,,,,,草乌,
56,草乌叶,Caowuye,"Aconiti Kusnezoffii Folium,Folium Aconiti Kusnezoffii",Kusnezoff Monkshood Leaf,"辛,涩,平,有小毒","Pungent,Astringent,Calm,Slightly Toxic",,,清热解毒药,Antipyretic Detoxicate Drugs,56.0,,,,,,,,,,草乌叶,
57,侧柏叶,Cebaiye,"Platycladi Cacumen,Cacumen Et Folium Biotae",leafy twigs of Oriental Arborvitae,"苦,涩,寒","Bitter,Astringent,Cold","肺,肝,脾","Lung,Liver,Spleen",凉血止血药,Blood-Cooling Hemostatic Medicinal,57.0,,,,,,,,,,侧柏叶,
58,柴胡,Chaihu,"Radix Bupleuri,Bupleuri Radix",root of Chinese Thorowax,"辛,苦,微寒","Pungent,Bitter,Slightly Cold","肝,胆,肺","Liver,Gallbladder,Lung",辛凉解表药,Pungent Cool Diaphoretics,58.0,,,,,,,,,,柴胡,
59,蝉蜕,Chantui,"Periostracum Cicadae,Cicadae Periostracum",Cicada Slough,"甘,寒","Sweet,Cold","肺,肝","Lung,Liver",辛凉解表药,Pungent Cool Diaphoretics,59.0,,,,,,,,,,蝉蜕,
60,常山,Changshan,"Radix Dichroae,Dichroae Radix",root of antifebrile Dichroa,"苦,辛,寒,有毒","Bitter,Pungent,Cold,Toxic","肺,肝,心","Lung,Liver,Heart",涌吐药,Emetic Medicinal,60.0,,,,,,,,,,常山,
61,车前草,Cheqiancao,"Plantaginis Herba,Herba Plantaginis",all-grass of Rippleseed plantain,"甘,寒","Sweet,Cold","肝,肾,肺,小肠","Liver,Kidney,Lung,Small Intestine",利水渗湿药,Diuretic Dampness Excreting Drugs,61.0,,,,,,,,,,车前草,
62,车前子,Cheqianzi,"Semen Plantaginis,Plantaginis Semen",seed of Asiatic pantain,"甘,寒","Sweet,Cold","肝,肾,肺,小肠","Liver,Kidney,Lung,Small Intestine",利水渗湿药,Diuretic Dampness Excreting Drugs,62.0,,,,,,,,,,车前子,
63,沉香,Chenxiang,"Lignum Aquilariae Resitum,Aquilariae Lignum Resinatum",Oily wood of Agalloch Eaglewood,"辛,苦,微温","Pungent,Bitter,Slightly Warm","脾,胃,肾","Spleen,Stomach,Kidney",理气药,Qi Regulating Drugs,63.0,,,,,,,,,,沉香,
64,陈皮,Chenpi,"Citri Reticulatae Pericarpium,Pericarpium Citri Reticulatae",Dried Tangerine Peel,"苦,辛,温","Bitter,Pungent,Warm","肺,脾","Lung,Spleen",理气药,Qi Regulating Drugs,64.0,,,,,,,,,,陈皮,
66,赤小豆,Chixiaodou,"Semen Phaseoli,Vignae Semen",Rice Bean,"甘,酸,平","Sweet,Sour,Calm","心,小肠","Heart,Small Intestine",利水渗湿药,Diuretic Dampness Excreting Drugs,66.0,,,,,,,,,,赤小豆,
67,茺蔚子,Chongweizi,"Leonuri Fructus,Fructus Leonuri",Motherwort Fruit,"辛,苦,微寒","Pungent,Bitter,Slightly Cold","心包,肝","Pericardium,Liver",活血祛瘀药,Blood Activating Stasis Removing Drugs,67.0,,,,,,,,,,茺蔚子,
68,臭梧桐,Chouwutong,Folium Clerodentri Trichotomi,"Glorybower leaf, Clerodendron leaf","苦,微辛,平","Bitter,Slightly Pungent,Calm",,,祛风湿清热药,Wind-Dampnessdispelling And Heatclearing Medicinal,68.0,,,,,,,,,,臭梧桐,
69,楮实子,Chushizi,Broussonetiae Fructus,Broussonetiae Fructus,"甘,寒","Sweet,Cold","肝,肾","Liver,Kidney",补阴药,Yin-Tonifying Medicinal,69.0,,,,,,,,,,楮实子,
70,川贝母,Chuanbeimu,"Bulbus Fritillariae Cirrhosae,Fritillariae Cirrhosae Bulbus",Bulb of Tendrilleaf Fritillary,"苦,甘,微寒","Bitter,Sweet,Slightly Cold","肺,心","Lung,Heart",化痰药,Phlegresolving Medicine,70.0,,,,,,,,,,川贝母,
71,川槿皮,Chuanjinpi,,Cortex Hibisci,"甘,苦,微寒","Sweet,Bitter,Slightly Cold","大肠,肝,脾","Large Intestine,Liver,Spleen",清热解毒药,Antipyretic Detoxicate Drugs,71.0,,,,,,,,,,川槿皮,
72,川楝子,Chuanlianzi,"Toosendan Fructus,Fructus Meliae Toosendan",Szechwan Chiberry Fruit,"苦,寒,有小毒","Bitter,Cold,Slightly Toxic","肝,小肠,膀胱","Liver,Small Intestine,Bladder",理气药,Qi Regulating Drugs,72.0,,,,,,,,,,川楝子,
73,川木通,Chuanmutong,"Caulis Clematidis Armandii,Clematidis Armandii Caulis",Armand Clematis Stem,"苦,寒","Bitter,Cold","心,小肠,膀胱","Heart,Small Intestine,Bladder",利水渗湿药,Diuretic Dampness Excreting Drugs,73.0,,,,,,,,,,川木通,
74,川牛膝,Chuanniuxi,"Cyathulae Radix,Radix Cyathulae",root of Medicil cyathula,"甘,微苦,平","Sweet,Slightly Bitter,Calm","肝,肾","Liver,Kidney",活血祛瘀药,Blood Activating Stasis Removing Drugs,74.0,,,,,,,,,,川牛膝,
75,川射干,Chuanshegan,Iridis Tectori Rhizoma,Iridis Tectori Rhizoma,"苦,寒","Bitter,Cold",肺,Lung,清热解毒药,Antipyretic Detoxicate Drugs,75.0,,,,,,,,,,川射干,
76,川乌,Chuanwu,"Aconiti Radix,Radix Aconiti",root of Common Monkshood,"辛,苦,热,有大毒","Pungent,Bitter,Hot,Extremely Poisonous","心,肝,肾,脾","Heart,Liver,Kidney,Spleen",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,76.0,,,,,,,,,,川乌,
77,川芎,Chuanxiong,"Chuanxiong Rhizoma,Radix Chuanxiong；Rhizoma Chuanxiong","Chuanxiong rhizome, Szechuan lovage root","辛,温","Pungent,Warm","肝,胆,心包","Liver,Gallbladder,Pericardium",活血祛瘀药,Blood Activating Stasis Removing Drugs,77.0,,,,,,,,,,川芎,
78,穿山龙,Chuanshanlong,"Rhizoma Dioscoreae Nipponicae,Dioscoreae Nipponicae Rhizoma",Ningpo Yam Rhizome ,"甘,苦,温","Sweet,Bitter,Warm","肝,肾,肺","Liver,Kidney,Lung",祛风湿清热药,Wind-Dampnessdispelling And Heatclearing Medicinal,78.0,,,,,,,,,,穿山龙,
80,垂盆草,Chuipencao,"Sedi Herba,Herba Sedi Sarmentosi",all - grass of Stringy stonecrop,"甘,淡,凉","Sweet,Tasteless,Cool","肝,胆,小肠","Liver,Gallbladder,Small Intestine",清热解毒药,Antipyretic Detoxicate Drugs,80.0,,,,,,,,,,垂盆草,
81,椿皮,Chunpi,"Cortex Tooe Sinensis,Ailanthi Cortex","Ailanthus bark, Tree of heaven bark","苦,涩,寒","Bitter,Astringent,Cold","大肠,胃,肝","Large Intestine,Stomach,Liver",清热燥湿药,Heat-Clearing And Dampnessdrying Medicinal,81.0,,,,,,,,,,椿皮,
83,大风子,Dafengzi,,Hydnocarpi Anthelminticae Semen,"辛,热,有毒","Pungent,Hot,Toxic","肝,脾","Liver,Spleen",解毒杀虫燥湿止痒药,Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching,83.0,,,,,,,,,,大风子,
84,大腹皮,Dafupi,Arecae Pericarpium,Areca Catechu L.,"辛,微温","Pungent,Slightly Warm","脾,胃,大肠,小肠","Spleen,Stomach,Large Intestine,Small Intestine",理气药,Qi Regulating Drugs,84.0,,,,,,,,,,大腹皮,
85,大黄,Dahuang,"Radix Et Rhizoma Rhei,Rhei Radix Et Rhizoma",root and rhziome of Sorrel Rhubarb,"苦,寒","Bitter,Cold","脾,胃,大肠,肝,心包","Spleen,Stomach,Large Intestine,Liver,Pericardium",攻下药,Offensive Purgative Medicinal,85.0,,,,,,,,,,大黄,
86,大蓟,Daji,"Cirsii Japonici Herba,Herba Cirsii Japonici;Radix Cirsii Japonici;Herba Seu Radix Cirsii Japonici",all-grass of Thistle,"甘,苦,凉","Sweet,Bitter,Cool","心,肝","Heart,Liver",凉血止血药,Blood-Cooling Hemostatic Medicinal,86.0,,,,,,,,,,大蓟,
87,大青叶,Daqingye,"Folium Isatidis,Isatidis Folium",Isatis leaf,"苦,寒","Bitter,Cold","心,胃","Heart,Stomach",清热解毒药,Antipyretic Detoxicate Drugs,87.0,,,,,,,,,,大青叶,
88,大蒜,Dasuan,"Allii Sativi Bulbus,Bulbus Allii",Garlic,"辛,温","Pungent,Warm","脾,胃,肺","Spleen,Stomach,Lung",解毒杀虫燥湿止痒药,Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching,88.0,,,,,,,,,,大蒜,
89,大血藤,Daxueteng,"Caulis Sargentodoxae,Sargentodoxae Caulis",Stem of Sargentgloryvine,"苦,平","Bitter,Calm","大肠,肝","Large Intestine,Liver",清热解毒药,Antipyretic Detoxicate Drugs,89.0,,,,,,,,,,大血藤,
91,大皂角,Dazaojiao,Gleditsiae Sinensis Fructus,Gleditsiae Fructus,"辛,咸,温,有小毒","Pungent,Salty,Warm,Slightly Toxic","肺,大肠","Lung,Large Intestine",化痰药,Phlegresolving Medicine,91.0,,,,,,,,,,大皂角,
92,玳玳花,Daidaihua,,Citrus Aurantium,"辛,甘,微苦,平","Pungent,Sweet,Slightly Bitter,Calm",,,理气药,Qi Regulating Drugs,92.0,,,,,,,,,,玳玳花,
93,丹参,Danshen,"Radix Salviae Liguliobae,Salviae Miltiorrhizae
Radix Et Rhizoma",root of Ligulilobe sage,"苦,微寒","Bitter,Slightly Cold","心,肝","Heart,Liver",活血祛瘀药,Blood Activating Stasis Removing Drugs,93.0,,,,,,,,,,丹参,
94,淡豆豉,Dandouchi,"Semen Sojae Praeparata,Sojae Semen Praeparatum",Fermented Soybean,"苦,辛,凉","Bitter,Pungent,Cool","肺,胃","Lung,Stomach",辛凉解表药,Pungent Cool Diaphoretics,94.0,,,,,,,,,,淡豆豉,
95,当归,Danggui,"Radix Angelicae Sinensis,Angelicae Sinensis Radix",root of Chinese Angelica,"甘,辛,温","Sweet,Pungent,Warm","肝,心,脾","Liver,Heart,Spleen",补血药,Blood-Tonifying Medicinal,95.0,,,,,,,,,,当归,
98,倒扣草,Daokoucao,,Achyranthis Asperae Herba,"苦,酸,微寒","Bitter,Sour,Slightly Cold","肝,肺,膀胱","Liver,Lung,Bladder",活血祛瘀药,Blood Activating Stasis Removing Drugs,98.0,,,,,,,,,,倒扣草,
99,灯心草,Dengxincao,"Junci Medulla,Medulla Junci",pith of Common Rush,"甘,淡,微寒","Sweet,Tasteless,Slightly Cold","心,肺,小肠","Heart,Lung,Small Intestine",利水渗湿药,Diuretic Dampness Excreting Drugs,99.0,,,,,,,,,,灯心草,
101,地枫皮,Difengpi,"Illicii Cortex,Cortex Illicii",Difengpi Bark,"微辛,涩,温,有小毒","Slightly Pungent,Astringent,Warm,Slightly Toxic","膀胱,肾","Bladder,Kidney",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,101.0,,,,,,,,,,地枫皮,
102,地肤子,Difuzi,"Fructus Kochiae,Kochiae Fructus",fruit of Belvedere,"辛,苦,寒","Pungent,Bitter,Cold","肾,膀胱","Kidney,Bladder",利水渗湿药,Diuretic Dampness Excreting Drugs,102.0,,,,,,,,,,地肤子,
103,地骨皮,Digupi,"Cortex Lycii Radicis,Lycii Cortex",root - bark of Chinese Wolfberry,"甘,寒","Sweet,Cold","肺,肝,肾","Lung,Liver,Kidney",清虚热药,Asthenic Heat Dispelling Drugs,103.0,,,,,,,,,,地骨皮,
104,地锦草,Dijincao,"Euphorbiae Humifusae Herba,Herba Euphorbiae Humifusae",all - grass of Humifuse Euphorbia,"辛,平","Pungent,Calm","肝,大肠","Liver,Large Intestine",清热解毒药,Antipyretic Detoxicate Drugs,104.0,,,,,,,,,,地锦草,
106,丁公藤,Dinggongteng,"Caulis Erycibes,Erycibes Caulis",Stem of Taiwan Erycibe,"辛,温,有小毒","Pungent,Warm,Slightly Toxic","肝,脾,胃","Liver,Spleen,Stomach",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,106.0,,,,,,,,,,丁公藤,
107,丁香,Dingxiang,"Flos Caryophylli,Caryophylli Flos",Clove,"辛,温","Pungent,Warm","脾,胃,肺,肾","Spleen,Stomach,Lung,Kidney",温里药,Warming Interior Drugs,107.0,,,,,,,,,,丁香,
108,冬虫夏草,Dongchongxiacao,Cordyceps,Chinese Caterpillar Fungus,"甘,平","Sweet,Calm","肺,肾","Lung,Kidney",补阳药,Yang Reinforcing Drugs,108.0,,,,,,,,,,冬虫夏草,
109,冬瓜皮,Dongguapi,"Exocarpium Benincasae,Benincasae Exocarpium",Chinese Waxgourd Peel,"甘,凉","Sweet,Cool","脾,小肠","Spleen,Small Intestine",利水渗湿药,Diuretic Dampness Excreting Drugs,109.0,,,,,,,,,,冬瓜皮,
110,冬瓜子,Dongguazi,,Benincasae Semen,"甘,微寒","Sweet,Slightly Cold","肺,大肠","Lung,Large Intestine",化痰药,Phlegresolving Medicine,110.0,,,,,,,,,,冬瓜子,
113,独活,Duhuo,"Radix Angelicae Pubescentis,Angelicae Pubescentis Radix",Doubleteeth Pubescent Angelica Root,"辛,苦,微温","Pungent,Bitter,Slightly Warm","肾,膀胱","Kidney,Bladder",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,113.0,,,,,,,,,,独活,
114,杜仲,Duzhong,"Cortex Eucommiae,Eucommiae Cortex",Eucommia bark,"甘,温","Sweet,Warm","肝,肾","Liver,Kidney",补阳药,Yang Reinforcing Drugs,114.0,,,,,,,,,,杜仲,
115,杜仲叶,Duzhongye,Eucommiae Folium,Eucommiae Folium,"微辛,温","Slightly Pungent,Warm","肝,肾","Liver,Kidney",拔毒化腐生肌药,"External Medicinal (Draw Out Toxin, Resolve Putridity)",115.0,,,,,,,,,,杜仲叶,
116,断血流,Duanxueliu,"Herba Clinopodii,Clinopodii Herba",Clinopodium Herb,"微苦,涩,凉","Slightly Bitter,Astringent,Cool",肝,Liver,凉血止血药,Blood-Cooling Hemostatic Medicinal,116.0,,,,,,,,,,断血流,
117,莪术,Ezhu,"Curcumae Rhizoma,Rhizoma Curcumae",Zedoray Rhizome,"辛,苦,温","Pungent,Bitter,Warm","肝,脾","Liver,Spleen",活血祛瘀药,Blood Activating Stasis Removing Drugs,117.0,,,,,,,,,,莪术,
118,鹅不食草,Ebushicao,"Herba Centipedae,Centipedae Herba",Small Centipeda Herb,"辛,温","Pungent,Warm",肺,Lung,辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,118.0,,,,,,,,,,鹅不食草,
119,儿茶,Ercha,Catechu,"Cutch, Black Catechu","苦,涩,微寒","Bitter,Astringent,Slightly Cold","肺,心","Lung,Heart",活血祛瘀药,Blood Activating Stasis Removing Drugs,119.0,,,,,,,,,,儿茶,
120,番泻叶,Fanxieye,"Sennae Folium,Folium Sene",Sen leaf,"甘,苦,寒","Sweet,Bitter,Cold",大肠,Large Intestine,攻下药,Offensive Purgative Medicinal,120.0,,,,,,,,,,番泻叶,
121,翻白草,Fanbaicao,"Herba Potentillae Discoloris,Potentillae Discoloris Herba",all-grass of discolor cinquefoil,"甘,微苦,平","Sweet,Slightly Bitter,Calm","肝,胃,大肠","Liver,Stomach,Large Intestine",清热解毒药,Antipyretic Detoxicate Drugs,121.0,,,,,,,,,,翻白草,
122,防风,Fangfeng,"Radix Saposhnikoviae Divaricatae,Saposhnikoviae Radix",root of Divaricate Saposhnikovia,"辛,甘,微温","Pungent,Sweet,Slightly Warm","膀胱,肝,脾","Bladder,Liver,Spleen",辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,122.0,,,,,,,,,,防风,
124,粉萆薢,Fenbixie,Dioscoreae Hypoglaucae Rhizoma,Dioscoreae Hypoglaucae Rhizoma,,"Bitter,Calm","肾,胃","Kidney,Stomach",利水渗湿药,Diuretic Dampness Excreting Drugs,124.0,,,,,,,,,,粉萆薢,
125,凤尾草,Fengweicao,Herba Pteridis Multifidae,all - grass of Chinese Brake,"甘,微苦,微温","Sweet,Slightly Bitter,Slightly Warm","大肠,胃,肝,肾","Large Intestine,Stomach,Liver,Kidney",清热解毒药,Antipyretic Detoxicate Drugs,125.0,,,,,,,,,,凤尾草,
126,凤仙透骨草,Fengxiantougucao,Herba Speranskiae Tuberculatae,all-grass of Tubercultae speranskia,"苦,辛,温,有小毒","Bitter,Pungent,Warm,Slightly Toxic",,,祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,126.0,,,,,,,,,,凤仙透骨草,
127,凤眼草,Fengyancao,,Ailanthi Altissimae Fructus,"苦,涩,凉","Bitter,Astringent,Cool",,,清热解毒药,Antipyretic Detoxicate Drugs,127.0,,,,,,,,,,凤眼草,
128,佛手,Foshou,"Fructus Citri Sarcodactylis,Citri Sarcodactylis Fructus",Finger Citron,"辛,苦,酸,温","Pungent,Bitter,Sour,Warm","肝,脾,胃,肺","Liver,Spleen,Stomach,Lung",理气药,Qi Regulating Drugs,128.0,,,,,,,,,,佛手,
129,茯苓,Fuling,Poria,Indian Bread,"甘,淡,平","Sweet,Tasteless,Calm","心,肺,脾,肾","Heart,Lung,Spleen,Kidney",利水渗湿药,Diuretic Dampness Excreting Drugs,129.0,,,,,,,,,,茯苓,
130,浮萍,Fuping,"Spirodelae Herba,Herba Spirodelae",all-grass of Common Ducksmeat,"辛,寒","Pungent,Cold",肺,Lung,辛凉解表药,Pungent Cool Diaphoretics,130.0,,,,,,,,,,浮萍,
131,附子,Fuzi,"Aconiti Lateralis Radix Praeparata,Radix Aconiti Lateralis",Common Monkshood Daughter Root,"辛,甘,大热,有毒","Pungent,Sweet,Big Hot,Toxic","心,肾,脾","Heart,Kidney,Spleen",温里药,Warming Interior Drugs,131.0,,,,,,,,,,附子,
132,覆盆子,Fupenzi,Rubi Fructus,Rubi Fructus,"甘,酸,温","Sweet,Sour,Warm","肝,肾,膀胱","Liver,Kidney,Bladder",收涩药,Astringent Medicinal,132.0,,,,,,,,,,覆盆子,
133,甘草,Gancao,"Glycyrrhizae Radix Et Rhizoma,Radix Glycyrrhizae",Root of Ural Licorice,"甘,平","Sweet,Calm","心,肺,脾,胃","Heart,Lung,Spleen,Stomach",补气药,Qi Reinforcing Drugs,133.0,,,,,,,,,,甘草,
134,甘松,Gansong,"Nardostachyos Radix Et Rhizoma,Radix Seu Rhizoma Rdostachyos",rdostachys Root,"辛,甘,温","Pungent,Sweet,Warm","脾,胃","Spleen,Stomach",理气药,Qi Regulating Drugs,134.0,,,,,,,,,,甘松,
135,甘遂,Gansui,"Radix Kansui,Kansui Radix",root of Gansui,"苦,寒,有毒","Bitter,Cold,Toxic","肺,肾,大肠","Lung,Kidney,Large Intestine",通水药,Drastic Purgatives,135.0,,,,,,,,,,甘遂,
136,干姜,Ganjiang,"Zingiberis Rhizoma,Rhizoma Zingiberis",Dried Ginger,"辛,热","Pungent,Hot","脾,胃,肾,心,肺","Spleen,Stomach,Kidney,Heart,Lung",温里药,Warming Interior Drugs,136.0,,,,,,,,,,干姜,
